resource_id,title,URL
b6ffd144-89fc-4441-8aea-a868075422d9,English Prescribing Dataset (EPD) with SNOMED code - Oct 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/b6ffd144-89fc-4441-8aea-a868075422d9?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
c6dddbdf-4c14-454a-813a-d7107ba19b5e,English Prescribing Dataset (EPD) with SNOMED code - Sep 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/c6dddbdf-4c14-454a-813a-d7107ba19b5e?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
e454ae76-f59d-44a4-82a4-6c8d92893a38,English Prescribing Dataset (EPD) with SNOMED code - Aug 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/e454ae76-f59d-44a4-82a4-6c8d92893a38?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
ae863f15-66e2-4541-b6cb-c2cc3db932ea,English Prescribing Dataset (EPD) with SNOMED code - Jul 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/ae863f15-66e2-4541-b6cb-c2cc3db932ea?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
de14669b-725b-46f1-a258-3ceefa8752a4,English Prescribing Dataset (EPD) with SNOMED code - Jun 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/de14669b-725b-46f1-a258-3ceefa8752a4?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
eec01ab6-329f-46ce-b942-f9c952bf91db,English Prescribing Dataset (EPD) with SNOMED code - May 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/eec01ab6-329f-46ce-b942-f9c952bf91db?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
f73aaf36-4aad-4662-8d4e-3db1723b4c4c,English Prescribing Dataset (EPD) with SNOMED code - Apr 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/f73aaf36-4aad-4662-8d4e-3db1723b4c4c?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
2e950c3e-37a5-45bb-b81d-41ef9c0f2898,English Prescribing Dataset (EPD) with SNOMED code - Mar 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/2e950c3e-37a5-45bb-b81d-41ef9c0f2898?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
82c3c694-e129-4542-a464-93d7328976fa,English Prescribing Dataset (EPD) with SNOMED code - Feb 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/82c3c694-e129-4542-a464-93d7328976fa?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
e43050cd-815b-478e-916a-91952448d5bf,English Prescribing Dataset (EPD) with SNOMED code - Jan 2024,https://opendata.nhsbsa.net/dataset/english-prescribing-dataset-epd-with-snomed-code/resource/e43050cd-815b-478e-916a-91952448d5bf?filters=BNF_CHAPTER_PLUS_CODE%3A04%253A%2520Central%2520Nervous%2520System%7CBNF_CHEMICAL_SUBSTANCE%3AZopiclone%7CBNF_CHEMICAL_SUBSTANCE%3AZolpidem%2520tartrate%7CBNF_CHEMICAL_SUBSTANCE%3AMelatonin
